"timeMillisSpent","score"
4675,"-23hard/0soft"
4868,"-22hard/0soft"
5043,"-21hard/0soft"
6017,"-20hard/0soft"
6089,"-19hard/0soft"
6910,"-18hard/0soft"
7122,"-17hard/0soft"
7539,"-16hard/0soft"
7793,"-15hard/0soft"
8548,"-14hard/0soft"
8837,"-13hard/0soft"
14113,"-12hard/0soft"
25834,"-11hard/0soft"
57086,"-10hard/0soft"
