"timeMillisSpent","score"
3401,"-19hard/0soft"
7680,"-18hard/0soft"
13409,"-17hard/0soft"
14738,"-16hard/0soft"
15487,"-15hard/0soft"
25243,"-14hard/0soft"
29035,"-13hard/0soft"
