"timeMillisSpent","score"
3838,"-19hard/0soft"
3966,"-18hard/0soft"
4420,"-17hard/0soft"
4450,"-16hard/0soft"
4529,"-15hard/0soft"
4976,"-14hard/0soft"
4994,"-13hard/0soft"
5229,"-12hard/0soft"
5713,"-11hard/0soft"
6784,"-10hard/0soft"
7257,"-9hard/0soft"
