"timeMillisSpent","score"
4612,"-23hard/0soft"
4825,"-22hard/0soft"
5002,"-21hard/0soft"
5983,"-20hard/0soft"
6063,"-19hard/0soft"
6856,"-18hard/0soft"
7099,"-17hard/0soft"
7537,"-16hard/0soft"
7749,"-15hard/0soft"
8464,"-14hard/0soft"
8752,"-13hard/0soft"
14179,"-12hard/0soft"
25649,"-11hard/0soft"
56199,"-10hard/0soft"
