"timeMillisSpent","score"
5124,"-23hard/0soft"
5543,"-22hard/0soft"
6785,"-21hard/0soft"
7051,"-20hard/0soft"
7363,"-19hard/0soft"
7685,"-18hard/0soft"
8766,"-17hard/0soft"
8876,"-16hard/0soft"
11665,"-15hard/0soft"
21267,"-14hard/0soft"
22799,"-13hard/0soft"
24378,"-12hard/0soft"
37403,"-11hard/0soft"
56950,"-10hard/0soft"
